Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Energy Cost Difference,Distance/Energy Cost
A*,3,0,0,0.0,,Energy Cost A*,3,0,0,0.0,,0
A*,4,5.6,16076.03,1.95,,Energy Cost A*,4,5.6,16076.03,1.95,,0.0,2872.8972428974707
A*,5,7.8,61907.86,3.14,,Energy Cost A*,5,7.8,61907.86,3.14,,0.0,7940.421699083177
A*,6,11.42,57282.64,3.91,,Energy Cost A*,6,11.42,57282.64,3.91,,0.0,5014.689523111126
A*,7,13.43,83752.53,4.57,,Energy Cost A*,7,13.43,83752.53,4.57,,0.0,6237.352603501097
A*,8,14.81,85850.7,5.7,,Energy Cost A*,8,14.81,85850.7,5.7,,0.0,5798.17113423424
A*,9,16.41,87942.24,5.81,,Energy Cost A*,9,16.41,87942.24,5.81,,0.0,5360.468791687042
A*,10,19.77,124988.33,7.61,,Energy Cost A*,10,19.77,124988.33,7.61,,0.0,6320.639685537364
A*,11,20.84,140358.65,7.68,,Energy Cost A*,11,20.84,140358.65,7.68,,0.0,6735.98086949393
A*,12,24.18,104936.27,7.91,,Energy Cost A*,12,24.18,104936.27,7.91,,0.0,4339.006281261032
A*,13,24.56,172801.74,10.53,,Energy Cost A*,13,24.56,172801.74,10.53,,0.0,7035.974920166884
A*,14,25.56,174098.66,10.08,,Energy Cost A*,14,25.56,174098.66,10.08,,0.0,6812.676347517851
A*,15,31.42,168145.98,11.53,,Energy Cost A*,15,31.42,168145.98,11.53,,0.0,5352.0562851452
A*,16,30.81,164322.7,11.49,,Energy Cost A*,16,30.81,164322.7,11.49,,0.0,5333.3120532322855
A*,17,32.36,182880.79,11.6,,Energy Cost A*,17,32.36,182880.79,11.6,,0.0,5652.058081731449
A*,18,34.14,181662.25,13.28,,Energy Cost A*,18,34.14,181662.25,13.28,,0.0,5321.561231593075
A*,19,39.93,217113.6,14.2,,Energy Cost A*,19,39.93,217113.6,14.2,,0.0,5437.104929528774
A*,20,38.86,203852.8,14.12,,Energy Cost A*,20,38.86,203852.8,14.12,,0.0,5246.38311047516
A*,21,40.13,244756.63,15.25,,Energy Cost A*,21,40.13,244756.63,15.25,,0.0,6099.7313252411495
A*,22,46.32,247044.13,16.72,,Energy Cost A*,22,46.32,247044.13,16.72,,0.0,5333.652311473307
A*,23,47.14,276965.91,17.3,,Energy Cost A*,23,47.14,276965.91,17.3,,0.0,5875.640993103555
A*,24,47.85,267161.05,17.86,,Energy Cost A*,24,47.85,267161.05,17.86,,0.0,5583.866490517321
A*,25,0,0,0.0,,Energy Cost A*,25,0,0,0.0,,0
