Square Size,Algorithm,Total Path Distance,Total Energy Cost,Total Traversal Time
3,A*,4.1815405503520555,22786.9148851496,1.3294524601385793
3,Energy Cost A*,4.1815405503520555,22786.9148851496,1.3294524601385793
4,A*,5.878315177510849,20893.68966848393,2.485145065508399
4,Energy Cost A*,5.878315177510849,20893.68966848393,2.485145065508399
5,A*,8.024579547452822,42449.10918638279,3.153752001505377
5,Energy Cost A*,8.024579547452822,42449.10918638279,3.153752001505377
6,A*,9.756630355021699,59455.96764525953,3.7933929541196214
6,Energy Cost A*,9.756630355021699,59455.96764525953,3.7933929541196214
7,A*,14.398872732159504,68673.66094163695,4.63654380670372
7,Energy Cost A*,14.398872732159504,68673.66094163695,4.63654380670372
8,A*,13.806513584913105,93974.53778431636,5.113638608631582
8,Energy Cost A*,13.806513584913105,93974.53778431636,5.113638608631582
9,A*,14.634945532532548,88473.4954313695,5.690089431179432
9,Energy Cost A*,14.634945532532548,88473.4954313695,5.690089431179432
10,A*,19.057193434767473,103988.75786180838,7.55489309178638
10,Energy Cost A*,19.057193434767473,103988.75786180838,7.55489309178638
11,A*,0,0,0.0
11,Energy Cost A*,0,0,0.0
12,A*,21.665577515686305,119923.38831203502,7.737297572969515
12,Energy Cost A*,21.665577515686305,119923.38831203502,7.737297572969515
13,A*,22.761953832863615,134638.0228703174,8.332485764017916
13,Energy Cost A*,22.761953832863615,134638.0228703174,8.332485764017916
14,A*,30.179562360715465,183213.60539412094,10.92527372115855
14,Energy Cost A*,30.179562360715465,183213.60539412094,10.92527372115855
15,A*,28.599833181662746,153739.16665108764,9.777766112159789
15,Energy Cost A*,28.599833181662746,153739.16665108764,9.777766112159789
16,A*,32.26233846114664,153972.8894325379,11.070922399510383
16,Energy Cost A*,32.26233846114664,153972.8894325379,11.070922399510383
17,A*,31.8106294307879,203271.37784974294,12.076371392466386
17,Energy Cost A*,31.8106294307879,203271.37784974294,12.076371392466386
18,A*,35.77531647344061,195109.4439414618,12.872140753128454
18,Energy Cost A*,35.77531647344061,195109.4439414618,12.872140753128454
19,A*,37.066669535421376,185387.5743379411,12.443926644538658
19,Energy Cost A*,37.066669535421376,185387.5743379411,12.443926644538658
20,A*,40.08390210106093,214974.15298323837,14.210477484404674
20,Energy Cost A*,40.08390210106093,214974.15298323837,14.210477484404674
21,A*,38.88973640538845,238898.33912399862,15.16400643083524
21,Energy Cost A*,38.88973640538845,238898.33912399862,15.16400643083524
22,A*,44.6704628108816,224194.04230227132,16.605290069655016
22,Energy Cost A*,44.6704628108816,224194.04230227132,16.605290069655016
23,A*,0,0,0.0
23,Energy Cost A*,0,0,0.0
24,A*,44.6796493932133,253811.96260427264,17.124451006518406
24,Energy Cost A*,44.6796493932133,253811.96260427264,17.124451006518406
25,A*,46.93550053481533,262424.0302785857,17.282202834602465
25,Energy Cost A*,46.93550053481533,262424.0302785857,17.282202834602465
26,A*,49.43092631402865,262162.4941378324,17.456708133848153
26,Energy Cost A*,49.43092631402865,262162.4941378324,17.456708133848153
27,A*,47.18883785489188,300568.0029976124,18.85547428666687
27,Energy Cost A*,47.18883785489188,300568.0029976124,18.85547428666687
28,A*,54.69382990349403,311362.3038905182,19.898817423968758
28,Energy Cost A*,54.69382990349403,311362.3038905182,19.898817423968758
29,A*,54.27057034565067,312603.5939296598,21.424774409045757
29,Energy Cost A*,54.27057034565067,312603.5939296598,21.424774409045757
30,A*,56.40420474739895,359208.16774272727,22.092498130483733
30,Energy Cost A*,56.40420474739895,359208.16774272727,22.092498130483733
31,A*,62.425885533936146,381026.5612301225,24.58766876305691
31,Energy Cost A*,62.425885533936146,381026.5612301225,24.58766876305691
32,A*,0,0,0.0
32,Energy Cost A*,0,0,0.0
33,A*,64.79360118615008,360779.2147799264,24.23472476567224
33,Energy Cost A*,64.79360118615008,360779.2147799264,24.23472476567224
34,A*,63.02598824583196,328164.11701249675,23.59259695062797
34,Energy Cost A*,63.02598824583196,328164.11701249675,23.59259695062797
35,A*,67.10512717449646,414266.5622667882,26.470444013756545
35,Energy Cost A*,67.10512717449646,414266.5622667882,26.470444013756545
36,A*,0,0,0.0
36,Energy Cost A*,0,0,0.0
37,A*,68.45602131252674,411470.05632169324,27.083430653815643
37,Energy Cost A*,68.45602131252674,411470.05632169324,27.083430653815643
38,A*,74.2235489069832,403259.6087962639,26.968235743301072
38,Energy Cost A*,74.2235489069832,403259.6087962639,26.968235743301072
39,A*,73.49864447475011,441006.18726426904,28.991617199736464
39,Energy Cost A*,73.49864447475011,441006.18726426904,28.991617199736464
40,A*,74.50812865286699,452941.6169599015,29.580729017423998
40,Energy Cost A*,74.50812865286699,452941.6169599015,29.580729017423998
41,A*,76.44872446792152,449411.6991356153,29.71643501847676
41,Energy Cost A*,76.44872446792152,449411.6991356153,29.71643501847676
42,A*,77.0359559209302,459772.6886423777,30.276018673569315
42,Energy Cost A*,77.0359559209302,459772.6886423777,30.276018673569315
43,A*,82.03326649664412,460258.2897499853,30.62548095159126
43,Energy Cost A*,82.03326649664412,460258.2897499853,30.62548095159126
44,A*,84.51785894455054,536110.1343204271,34.42885830485073
44,Energy Cost A*,84.51785894455054,536110.1343204271,34.42885830485073
45,A*,0,0,0.0
45,Energy Cost A*,0,0,0.0
46,A*,93.01883876444772,554348.6102308311,35.023332418130245
46,Energy Cost A*,93.01883876444772,554348.6102308311,35.023332418130245
47,A*,86.93369099759225,504633.7177120132,32.005205016666636
47,Energy Cost A*,86.93369099759225,504633.7177120132,32.005205016666636
48,A*,94.90039189846982,551164.7175142216,36.710465115925096
48,Energy Cost A*,94.90039189846982,551164.7175142216,36.710465115925096
49,A*,93.63166643614541,583107.4291896882,38.17729861117826
49,Energy Cost A*,93.63166643614541,583107.4291896882,38.17729861117826
50,A*,0,0,0.0
50,Energy Cost A*,0,0,0.0
51,A*,94.61956356244306,568745.3711696087,37.72786380778544
51,Energy Cost A*,94.61956356244306,568745.3711696087,37.72786380778544
52,A*,101.49347192611224,572872.4079762098,38.72707521886824
52,Energy Cost A*,101.49347192611224,572872.4079762098,38.72707521886824
53,A*,102.60910431290046,640912.1173663029,40.87916554376667
53,Energy Cost A*,102.60910431290046,640912.1173663029,40.87916554376667
54,A*,104.70012037529865,675760.8924917774,43.099464517309144
54,Energy Cost A*,104.70012037529865,675760.8924917774,43.099464517309144
55,A*,104.47619576296273,623469.2700747189,41.00973137943535
55,Energy Cost A*,104.47619576296273,623469.2700747189,41.00973137943535
56,A*,106.94636145724742,616324.5479143437,39.10839616510147
56,Energy Cost A*,106.94636145724742,616324.5479143437,39.10839616510147
57,A*,108.15205408149028,650461.8159197386,42.822339964258575
57,Energy Cost A*,108.15205408149028,650461.8159197386,42.822339964258575
58,A*,112.4922352590186,607071.034700069,41.570293581956754
58,Energy Cost A*,112.4922352590186,607071.034700069,41.570293581956754
59,A*,113.29341762427913,646855.62774716,42.14483883930467
59,Energy Cost A*,113.29341762427913,646855.62774716,42.14483883930467
60,A*,112.66556025241138,722847.7391745418,45.73056235901348
60,Energy Cost A*,112.66556025241138,722847.7391745418,45.73056235901348
61,A*,117.71662398307919,711081.3789802009,47.120820635957344
61,Energy Cost A*,117.71662398307919,711081.3789802009,47.120820635957344
62,A*,117.51487855229759,684306.8279196399,45.55115700831916
62,Energy Cost A*,117.51487855229759,684306.8279196399,45.55115700831916
63,A*,121.31148048553182,725935.1998619731,48.4092462395995
63,Energy Cost A*,121.31148048553182,725935.1998619731,48.4092462395995
64,A*,124.8382718358767,685574.8483352942,45.544763894246756
64,Energy Cost A*,124.8382718358767,685574.8483352942,45.544763894246756
65,A*,119.55922479753333,717013.9113192135,46.21263680272831
65,Energy Cost A*,118.65681356955102,724263.2534329084,46.66804964096835
66,A*,127.88906992482327,741501.5594698018,47.8321804920234
66,Energy Cost A*,127.88906992482327,741501.5594698018,47.8321804920234
67,A*,127.00794509099605,779647.6020970253,50.88167448188784
67,Energy Cost A*,127.00794509099605,779647.6020970253,50.88167448188784
68,A*,128.07708439049833,787072.5174180004,50.95643946786699
68,Energy Cost A*,128.07708439049833,787072.5174180004,50.95643946786699
69,A*,131.19630752636954,763822.6195544603,50.65604844136746
69,Energy Cost A*,131.19630752636954,763822.6195544603,50.65604844136746
70,A*,134.42632306816841,773320.3913278892,52.43747920963622
70,Energy Cost A*,134.42632306816841,773320.3913278892,52.43747920963622
71,A*,136.85457483717977,792278.9162569004,51.570249988613966
71,Energy Cost A*,136.85457483717977,792278.9162569004,51.570249988613966
72,A*,135.17560644137683,789324.1941740214,51.45283961128511
72,Energy Cost A*,135.17560644137683,789324.1941740214,51.45283961128511
73,A*,130.83298421937747,796315.0006688172,52.70471529117637
73,Energy Cost A*,130.83298421937747,796315.0006688172,52.70471529117637
74,A*,139.61856025147776,853371.1601417668,55.39316531155113
74,Energy Cost A*,139.61856025147776,853371.1601417668,55.39316531155113
75,A*,142.52552550798146,840546.4025116055,54.04089403966717
75,Energy Cost A*,142.52552550798146,840546.4025116055,54.04089403966717
76,A*,142.47595229978464,878164.1633120014,57.148538492862436
76,Energy Cost A*,142.47595229978464,878164.1633120014,57.148538492862436
77,A*,146.51825579456687,825274.876322938,55.35714298485707
77,Energy Cost A*,146.51825579456687,825274.876322938,55.35714298485707
78,A*,146.07827912212923,869290.9177877904,56.88193094094144
78,Energy Cost A*,146.07827912212923,869290.9177877904,56.88193094094144
79,A*,148.94607439655937,864581.3769586701,58.119513102064495
79,Energy Cost A*,148.94607439655937,864581.3769586701,58.119513102064495
80,A*,149.1157474589242,896272.7755373017,57.612859832662394
80,Energy Cost A*,149.1157474589242,896272.7755373017,57.612859832662394
81,A*,154.91814519796262,951971.9360727974,61.648251541945065
81,Energy Cost A*,154.91814519796262,951971.9360727974,61.648251541945065
82,A*,150.54823256649044,944608.1793873825,61.86118176455644
82,Energy Cost A*,150.54823256649044,944608.1793873825,61.86118176455644
83,A*,159.59081895177658,948073.5779224775,64.04908601838379
83,Energy Cost A*,159.59081895177658,948073.5779224775,64.04908601838379
84,A*,157.8867842569497,974680.6407418477,62.89288571597422
84,Energy Cost A*,157.8867842569497,974680.6407418477,62.89288571597422
85,A*,158.17802327359468,968471.3369819862,62.394733562256036
85,Energy Cost A*,158.17802327359468,968471.3369819862,62.394733562256036
86,A*,168.75486811534074,1063327.464635625,68.83807676538252
86,Energy Cost A*,168.75486811534074,1063327.464635625,68.83807676538252
87,A*,163.54507869895065,970975.5646984425,63.80708916050679
87,Energy Cost A*,163.54507869895065,970975.5646984425,63.80708916050679
88,A*,165.44354755634504,971350.1648146872,64.97688625750148
88,Energy Cost A*,165.44354755634504,971350.1648146872,64.97688625750148
89,A*,160.00042991670387,1014427.2989540551,65.1147671788423
89,Energy Cost A*,160.00042991670387,1014427.2989540551,65.1147671788423
90,A*,173.10305338984816,962606.7116473895,63.956960480512556
90,Energy Cost A*,173.10305338984816,962606.7116473895,63.956960480512556
91,A*,174.3931845439966,1015513.523620672,67.1582905534522
91,Energy Cost A*,174.3931845439966,1015513.523620672,67.1582905534522
92,A*,172.6336378976042,1005532.7412728885,67.5537638519433
92,Energy Cost A*,172.6336378976042,1005532.7412728885,67.5537638519433
93,A*,177.37638533813032,1061942.7366943806,70.99653562323105
93,Energy Cost A*,177.37638533813032,1061942.7366943806,70.99653562323105
94,A*,179.1502898586021,1086670.3063144416,71.63910340891543
94,Energy Cost A*,179.1502898586021,1086670.3063144416,71.63910340891543
95,A*,177.23300793711678,1093380.3914148142,72.02354626858882
95,Energy Cost A*,177.23300793711678,1093380.3914148142,72.02354626858882
96,A*,183.01101602609504,1051761.5809331632,68.79797314867794
96,Energy Cost A*,183.01101602609504,1051761.5809331632,68.79797314867794
97,A*,185.3259951945913,1074750.7981658787,71.55245239641017
97,Energy Cost A*,185.3259951945913,1074750.7981658787,71.55245239641017
98,A*,184.31309461326177,1109688.5670649437,72.51865722496258
98,Energy Cost A*,184.31309461326177,1109688.5670649437,72.51865722496258
99,A*,186.27054871943713,1090720.0566851122,73.1740606460109
99,Energy Cost A*,186.27054871943713,1090720.0566851122,73.1740606460109
100,A*,190.02876404277993,1121958.4963272407,71.88131735082892
100,Energy Cost A*,190.02876404277993,1121958.4963272407,71.88131735082892
