Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Energy Cost Difference,Distance/Energy Cost,Energy Savings,
A*,65,122.06,704100.05,48.46,,Energy Cost A*,65,122.06,704100.05,48.46,,0,5768.26445761508,,
A*,66,122.84,755252.47,49.55,,Energy Cost A*,66,122.84,755252.47,49.55,,0,6148.27210531549,,
A*,67,123.85,776283.06,49.62,,Energy Cost A*,67,123.85,776283.06,49.62,,0,6267.95134757488,,
A*,68,133.86,809418.12,52.4,,Energy Cost A*,68,133.86,809418.12,52.4,,0,6046.94010165789,,
A*,69,0,0,0,,Energy Cost A*,69,0,0,0,,0,,,
A*,70,134.55,776763.9,51.41,,Energy Cost A*,70,134.55,776763.9,51.41,,0,5773.04268730421,,
A*,65,123.51,734095.98,48.04,,Energy Cost A*,65,123.51,734095.98,48.04,,0,5943.52153648209,,
A*,66,125.1,755987.41,49.71,,Energy Cost A*,66,125.1,755987.41,49.71,,0,6043.13798586529,,
A*,67,126.74,752471.64,50.34,,Energy Cost A*,67,126.74,752471.64,50.34,,0,5937.35542928854,,
A*,69,134.6,774451.91,48.82,,Energy Cost A*,69,134.6,774451.91,48.82,,0,5753.91369824308,0,
A*,70,132.66,806282.95,52.83,,Energy Cost A*,70,132.66,806282.95,52.83,,0,6077.78214367959,0,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Total Path Distance,Total Energy Cost,Total Traversal Time,,,,Total Path Distance,Total Energy Cost,Total Traversal Time,,Energy Cost Difference,,Energy Savings (percent),
A*,65,118.656813569551,724263.253432908,46.6680496409684,,Energy Cost A*,65,119.559224797533,717013.911319213,46.2126368027283,,7249.34211369499,,1.00%,
A*,99,183.4,1108038.76,72.45,,Energy Cost A*,99,183.85,1102611.19,71.97,,5427.5684940333,,0.49%,
A*,68,129.9,779065.18,51.08,,Energy Cost A*,68,129.9,779065.18,51.08,,1570.43978450145,,0.20%,0.56%
