Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Energy Cost Difference,Distance/Energy Cost
A*,5,12.16,85317.76,4.48,,Energy Cost A*,5,12.16,85317.76,4.48,,0.0,7017.594235123633
A*,6,9.29,44923.21,3.24,,Energy Cost A*,6,9.29,44923.21,3.24,,0.0,4834.966925314416
A*,7,11.16,63460.1,4.41,,Energy Cost A*,7,11.16,63460.1,4.41,,0.0,5688.309019896268
A*,8,14.47,75533.57,5.16,,Energy Cost A*,8,14.47,75533.57,5.16,,0.0,5218.981551918811
A*,9,16.39,111350.85,6.85,,Energy Cost A*,9,16.39,111350.85,6.85,,0.0,6792.875031513478
A*,10,18.88,107154.77,7.02,,Energy Cost A*,10,18.88,107154.77,7.02,,0.0,5676.45272382106
A*,5,8.74,67106.58,3.2,,Energy Cost A*,5,8.74,67106.58,3.2,,0.0,7676.32523562472
A*,6,11.7,51254.74,3.93,,Energy Cost A*,6,11.7,51254.74,3.93,,0.0,4382.423384942206
A*,7,15.39,70308.61,5.22,,Energy Cost A*,7,15.39,70308.61,5.22,,0.0,4568.137970484444
A*,8,15.44,93207.78,5.75,,Energy Cost A*,8,15.44,93207.78,5.75,,0.0,6035.917926312905
A*,9,16.94,82991.29,5.85,,Energy Cost A*,9,16.94,82991.29,5.85,,0.0,4900.011635388808
A*,10,17.65,104501.13,5.9,,Energy Cost A*,10,17.65,104501.13,5.9,,0.0,5919.2688993255715
